,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,2018-12-01,67.77,67.896,67.783,68.244,68.826,68.401,63.409,47.298,36.348,34.631,35.677,35.417,34.994,35.565,35.288,35.012,33.261,34.222,35.336,38.784,47.086,58.923,67.965,67.973
1,2018-12-02,67.981,67.476,66.974,66.393,66.041,65.09,57.48,42.703,33.76,31.814,32.388,32.497,32.0,32.199,32.114,31.959,31.741,31.545,32.735,35.607,42.426,53.788,59.712,59.12
2,2018-12-03,58.782,58.238,57.648,57.554,57.34,57.586,50.346,37.84,30.141,29.795,29.434,29.416,29.315,29.403,29.193,29.333,28.988,29.713,30.753,33.342,39.782,50.187,55.323,53.842
3,2018-12-04,53.353,52.877,52.524,52.192,51.914,52.832,46.615,35.975,30.03,54.982,46.08,38.632,36.356,35.477,35.936,35.583,35.738,33.253,35.832,38.451,44.798,54.93,59.748,57.636
4,2018-12-05,56.942,56.532,56.509,56.172,55.985,57.521,52.292,41.045,34.167,31.467,33.578,33.717,33.813,33.641,32.581,30.56,29.9,28.41,30.16,33.164,39.666,51.319,58.145,56.981
