,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,2018-12-01,15.333,15.375,15.417,15.405,15.399,16.114,20.67,28.055,33.593,36.18,36.758,36.82,36.846,36.874,36.833,36.867,36.772,36.846,35.306,32.219,26.106,18.77,15.602,15.423
1,2018-12-02,15.339,15.309,15.279,15.297,15.285,16.102,20.634,28.068,33.652,36.26,36.799,36.833,36.82,36.853,36.847,36.826,36.854,36.847,35.293,32.181,26.057,18.735,15.631,15.369
2,2018-12-03,15.327,15.309,15.297,15.285,15.327,16.078,20.623,28.067,33.658,36.28,36.786,36.833,36.833,36.847,36.847,36.86,36.799,36.806,35.326,32.174,26.033,18.717,15.584,15.357
3,2018-12-04,15.363,15.327,15.333,15.327,15.375,16.073,20.611,28.055,33.612,36.165,36.629,36.65,36.677,36.71,36.71,36.69,36.738,36.622,35.213,32.065,25.978,18.651,15.566,15.333
4,2018-12-05,15.381,15.351,15.303,15.291,15.267,16.049,20.593,28.03,33.607,36.132,36.704,36.752,36.724,36.744,36.751,36.772,36.792,36.786,35.233,32.11,26.027,18.687,15.56,15.345
