,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,2018-12-01,15.112,15.172,15.142,15.118,15.124,15.446,20.788,28.006,33.073,35.652,35.812,35.906,35.906,35.879,35.926,35.954,35.886,35.9,33.922,30.575,23.961,16.792,15.166,15.154
1,2018-12-02,15.112,15.076,15.148,15.112,15.112,15.447,20.836,28.094,33.23,35.618,35.819,35.886,35.859,35.886,35.9,35.947,35.926,35.92,33.876,30.537,23.93,16.786,15.202,15.13
2,2018-12-03,15.082,15.1,15.046,15.046,15.07,15.416,20.812,28.069,33.184,35.826,35.954,36.034,36.048,35.98,36.048,36.014,35.8,35.96,33.948,30.613,23.966,16.792,15.154,15.118
3,2018-12-04,15.136,15.076,15.088,15.106,15.118,15.387,20.824,28.124,33.256,35.806,35.981,36.001,35.98,36.001,36.001,35.967,35.974,36.001,33.961,30.587,23.96,16.774,15.148,15.154
4,2018-12-05,15.082,15.064,15.112,15.1,15.106,15.446,20.83,28.137,33.249,35.813,36.001,36.062,36.109,36.088,36.055,36.062,36.102,36.061,33.988,30.574,23.948,16.768,15.19,15.118
