,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,2018-12-01,0.462,0.44,0.445,0.438,0.442,0.475,0.597,1.005,1.452,1.468,1.548,1.555,1.555,1.533,1.538,1.533,1.582,1.518,1.315,1.045,0.73,0.507,0.408,0.465
1,2018-12-02,0.438,0.435,0.442,0.438,0.438,0.472,0.59,1.025,1.365,1.39,1.498,1.553,1.568,1.54,1.545,1.547,1.555,1.545,1.32,1.038,0.702,0.51,0.442,0.442
2,2018-12-03,0.435,0.44,0.442,0.438,0.442,0.465,0.61,1.005,1.515,1.625,1.625,1.608,1.578,1.565,1.568,1.555,1.707,1.552,1.33,1.042,0.68,0.48,0.455,0.442
3,2018-12-04,0.438,0.435,0.432,0.432,0.435,0.465,0.625,1.02,1.42,1.632,1.608,1.588,1.572,1.562,1.558,1.56,1.56,1.578,1.328,1.042,0.688,0.505,0.457,0.442
4,2018-12-05,0.435,0.435,0.438,0.435,0.44,0.467,0.628,1.025,1.425,1.695,1.602,1.588,1.585,1.578,1.582,1.585,1.59,1.593,1.332,1.042,0.682,0.515,0.452,0.438
