,Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,2018-12-01,73.066,74.546,74.076,74.468,74.182,73.032,75.744,73.812,71.504,74.876,73.665,73.699,73.637,74.076,74.055,74.1,73.226,74.329,75.138,76.36,76.112,74.018,76.268,73.0
1,2018-12-02,74.468,74.609,74.312,74.469,74.432,73.139,76.188,73.449,73.405,76.062,74.519,73.67,73.43,73.871,73.823,73.85,73.774,73.883,74.977,76.484,76.947,73.853,74.402,74.051
2,2018-12-03,74.757,74.268,74.078,74.466,74.132,73.478,75.359,73.918,70.476,72.378,72.63,72.994,73.515,73.614,73.653,73.842,70.896,73.848,74.914,76.478,77.783,75.281,73.545,74.335
3,2018-12-04,74.536,74.567,75.004,74.712,74.718,73.37,74.81,73.712,72.364,72.215,72.917,73.279,73.507,73.705,73.797,73.677,73.707,73.448,74.959,76.447,77.567,74.048,73.512,74.313
4,2018-12-05,74.71,74.714,74.622,74.614,74.412,73.401,74.666,73.502,72.242,71.187,73.073,73.392,73.478,73.556,73.484,73.408,73.403,73.275,74.938,76.401,77.616,73.607,73.701,74.526
