Plot Title: HDT,,,,,,
#,"Date Time, GMT-06:00","Temp, øC (LGR S/N: 20042961, SEN S/N: 20042961)","RH, % (LGR S/N: 20042961, SEN S/N: 20042961)",Host Connected (LGR S/N: 20042961),Stopped (LGR S/N: 20042961),End Of File (LGR S/N: 20042961)
1,12/10/2018 0:05,15.393,76.2,,,
2,12/10/2018 0:20,15.464,75.623,,,
3,12/10/2018 0:35,15.417,75.67,,,
4,12/10/2018 0:50,15.512,74.955,,,
5,12/10/2018 1:05,15.417,74.624,,,
6,12/10/2018 1:20,15.417,74.681,,,
7,12/10/2018 1:35,15.56,74.341,,,
8,12/10/2018 1:50,15.417,74.398,,,
9,12/10/2018 2:05,15.417,74.709,,,
10,12/10/2018 2:20,15.44,74.488,,,
11,12/10/2018 2:35,15.393,74.704,,,
12,12/10/2018 2:50,15.44,74.459,,,
13,12/10/2018 3:05,15.417,74.199,,,
14,12/10/2018 3:20,15.393,74.535,,,
15,12/10/2018 3:35,15.44,74.119,,,
16,12/10/2018 3:50,15.393,74.166,,,
17,12/10/2018 4:05,15.44,73.75,,,
18,12/10/2018 4:20,15.417,73.461,,,
19,12/10/2018 4:35,15.393,73.684,,,
20,12/10/2018 4:50,15.44,73.807,,,
21,12/10/2018 5:05,16.085,71.39,,,
22,12/10/2018 5:20,16.656,69.332,,,
23,12/10/2018 5:35,16.728,69.026,,,
24,12/10/2018 5:50,16.728,69.113,,,
25,12/10/2018 6:05,17.252,70.719,,,
26,12/10/2018 6:20,20.178,65.316,,,
27,12/10/2018 6:35,20.44,64.794,,,
28,12/10/2018 6:50,20.559,64.725,,,
29,12/10/2018 7:05,21.393,64.838,,,
30,12/10/2018 7:20,24.489,60.122,,,
31,12/10/2018 7:35,24.706,60.249,,,
32,12/10/2018 7:50,24.803,60.449,,,
33,12/10/2018 8:05,25.482,59.877,,,
34,12/10/2018 8:20,27.462,56.94,,,
35,12/10/2018 8:35,27.585,56.864,,,
36,12/10/2018 8:50,27.634,56.274,,,
37,12/10/2018 9:05,28.499,56.148,,,
38,12/10/2018 9:20,29.722,54.325,,,
39,12/10/2018 9:35,29.847,54.024,,,
40,12/10/2018 9:50,29.922,54.29,,,
41,12/10/2018 10:05,29.947,54.325,,,
42,12/10/2018 10:20,29.922,54.354,,,
43,12/10/2018 10:35,29.973,54.329,,,
44,12/10/2018 10:50,29.922,54.513,,,
45,12/10/2018 11:05,29.998,54.237,,,
46,12/10/2018 11:20,29.947,54.294,,,
47,12/10/2018 11:35,29.998,54.492,,,
48,12/10/2018 11:50,29.998,54.205,,,
49,12/10/2018 12:05,29.998,54.237,,,
50,12/10/2018 12:20,29.922,54.194,,,
51,12/10/2018 12:35,29.973,54.265,,,
52,12/10/2018 12:50,29.973,54.329,,,
53,12/10/2018 13:05,29.947,54.325,,,
54,12/10/2018 13:20,29.973,54.201,,,
55,12/10/2018 13:35,29.973,53.882,,,
56,12/10/2018 13:50,29.947,53.463,,,
57,12/10/2018 14:05,29.998,53.95,,,
58,12/10/2018 14:20,29.973,54.042,,,
59,12/10/2018 14:35,29.947,53.879,,,
60,12/10/2018 14:50,29.973,53.659,,,
61,12/10/2018 15:05,29.998,53.502,,,
62,12/10/2018 15:20,29.998,53.438,,,
63,12/10/2018 15:35,29.973,53.627,,,
64,12/10/2018 15:50,29.973,53.627,,,
65,12/10/2018 16:05,29.973,53.531,,,
66,12/10/2018 16:20,29.998,53.598,,,
67,12/10/2018 16:35,29.998,53.47,,,
68,12/10/2018 16:50,29.998,53.374,,,
69,12/10/2018 17:05,29.998,53.406,,,
70,12/10/2018 17:20,29.998,53.342,,,
71,12/10/2018 17:35,29.922,53.268,,,
72,12/10/2018 17:50,29.973,53.531,,,
73,12/10/2018 18:05,29.022,54.545,,,
74,12/10/2018 18:20,27.955,56.29,,,
75,12/10/2018 18:35,27.831,56.901,,,
76,12/10/2018 18:50,27.757,56.827,,,
77,12/10/2018 19:05,27.069,57.164,,,
78,12/10/2018 19:20,25.142,60.318,,,
79,12/10/2018 19:35,24.9,60.618,,,
80,12/10/2018 19:50,24.9,60.464,,,
81,12/10/2018 20:05,23.958,60.775,,,
82,12/10/2018 20:20,20.94,66.67,,,
83,12/10/2018 20:35,20.702,66.777,,,
84,12/10/2018 20:50,20.606,66.968,,,
85,12/10/2018 21:05,19.868,64.517,,,
86,12/10/2018 21:20,17.252,70.197,,,
87,12/10/2018 21:35,16.775,70.802,,,
88,12/10/2018 21:50,16.704,70.875,,,
89,12/10/2018 22:05,15.918,73.674,,,
90,12/10/2018 22:20,15.512,77.095,,,
91,12/10/2018 22:35,15.44,76.041,,,
92,12/10/2018 22:50,15.369,76.448,,,
93,12/10/2018 23:05,15.417,75.923,,,
94,12/10/2018 23:20,15.369,75.772,,,
95,12/10/2018 23:35,15.393,76.059,,,
96,12/10/2018 23:50,15.393,76.171,,,
97,12/11/2018 0:05,15.369,75.716,,,
98,12/11/2018 0:20,15.393,75.721,,,
99,12/11/2018 0:35,15.393,75.806,,,
100,12/11/2018 0:50,15.345,75.993,,,
101,12/11/2018 1:05,15.464,75.397,,,
102,12/11/2018 1:20,15.369,75.265,,,
103,12/11/2018 1:35,15.369,75.519,,,
104,12/11/2018 1:50,15.393,75.298,,,
105,12/11/2018 2:05,15.369,75.208,,,
106,12/11/2018 2:20,15.393,75.298,,,
107,12/11/2018 2:35,15.393,75.383,,,
108,12/11/2018 2:50,15.369,75.603,,,
109,12/11/2018 3:05,15.417,74.964,,,
110,12/11/2018 3:20,15.369,74.558,,,
111,12/11/2018 3:35,15.393,74.676,,,
112,12/11/2018 3:50,15.393,74.761,,,
113,12/11/2018 4:05,15.393,74.704,,,
